occ1,occ2,occ3,occ4,occ5,occ6,occ7,occ8
0.33624098,0.73479296,1.44292545,0.62884869,0.77023801,0.76687966,1.17616505,0.93152444
0.30750251,0.70406709,1.1089787,0.63735313,1.35966881,0.75620017,0.96391134,0.77641418
0.44476966,0.502272,0.51193552,0.61605478,0.63292894,0.89475602,0.66009645,0.79563787
0.42426283,0.46488779,0.53255753,0.48201257,0.56812306,0.71225707,0.58391571,0.67473233
0.39512901,0.35952107,0.47792871,0.54894041,0.58165281,0.57592596,0.63572082,0.53042654
0.46639907,0.3868932,0.30826807,0.6757096,0.67771367,2.15259053,0.58461484,0.56678968
0.4322376,0.38410181,0.37508731,0.59860589,0.46804492,1.56534001,0.51692985,0.89562294
0.40978782,0.34539736,0.48198229,0.48481409,0.48238451,1.33838508,0.49675175,0.60812294
0.36946645,0.37080731,0.59523752,0.51474972,0.54551345,1.16362709,0.40877164,0.5348509
0.22453652,0.31016829,0.35191079,0.56770367,0.52410735,0.78225698,0.39245778,0.51270647
0.23224261,0.32518734,0.37338659,0.32545588,0.46258931,0.35628695,0.33319406,0.45024079
0.35093058,0.26004574,0.31131574,0.26490693,0.31133441,0.31308206,0.27326031,0.3421403
0.3140734,0.14876109,0.24868238,0.18706747,0.25039093,0.30584519,0.38740016,0.31796507
0.09111087,0.06989705,0.0403797,0.10180962,0.11640204,0.10857355,0.16431033,0.13866752
0.03625422,0.04,0.01667886,0.0985317,0.15107142,0.19367944,0.11813207,0.21876006
0.02084828,0.02691667,0.05671983,0.10148119,0.11639605,0.21874008,0.16374829,0.20176463
0.0173118,0.0775,0.0475,0.18300515,0.11722661,0.09690909,0.10060387,0.18758534
0.01666824,0.0125,0.0475,0.18932404,0.09733246,0.1179932,0.06838492,0.07600399
0.0128342,0.04919724,0.0025,0.17740723,0.05398534,0.08806199,0.05038687,0.08039648
0.04218791,0.01571925,0.0025,0.17186021,0.05523437,0.04715219,0.10414532,0.08
0.01674391,0.05,0.005,0.10515322,0.09109171,0.07083333,0.08857144,0.08683203
0.0425,0.04,0.01382433,0.03825,0.09904199,0.04209819,0.08602216,0.0575
0.02,0.0375,0.0109967,0.10819004,0.0646342,0.07272045,0.1256031,0.09
0.04964034,0.06209058,0.0613785,0.11297683,0.06592688,0.07909708,0.12481618,0.08020182
0.03233841,0.04710149,0.01908279,0.13477639,0.06872525,0.08935673,0.07647237,0.0775
0.0274066,0.05033225,0.05974842,0.14420061,0.22257423,0.13418493,0.07158333,0.10883333
0.07338611,0.09735671,0.19153874,0.31659664,0.28013178,0.28931308,0.23074866,0.26757175
0.06005159,0.23789116,0.24736061,0.53696384,0.384852,0.41735891,0.47704831,0.31730839
0.09073018,0.23787396,0.24526973,0.67355096,0.54790508,0.54552411,0.59886136,0.52240271
0.18849655,0.26738915,0.42146949,0.53052766,0.55070416,0.49313188,0.67477925,0.63617734
0.16335108,0.29663255,0.28828167,0.61816477,0.42140871,0.38675637,0.50587045,0.57500054
0.29115,0.31350994,0.21100714,0.50166717,0.26620918,0.30817346,0.4378668,0.37903536
0.13696416,0.30341169,0.16218212,0.40006136,0.30546334,0.19400866,0.38090114,0.28895811
0.14102802,0.14304222,0.14305382,0.37421621,0.31897544,0.17402783,0.22697469,0.2401134
0.09001471,0.19628547,0.18789657,0.44720602,0.19540036,0.18447704,0.16031482,0.19323876
0.12441632,0.09943435,0.29400921,0.3168747,0.50398902,0.19745249,0.17524271,0.24605117
0.0945227,0.27225,0.27870194,0.2004782,0.35621658,0.29309972,0.3947691,1.11451758
0.24307634,0.23651191,0.32788987,0.22552355,0.46388395,0.31683172,0.87803578,0.54230923
0.2566858,0.07150807,0.14427843,0.27417016,0.28295656,0.40780639,1.022844,0.30239906
0.17956358,0.10111984,0.66973269,0.40242195,0.25944126,0.19206657,0.32950615,0.22786763
0.25234788,0.79571191,0.1595751,0.28232032,0.41192967,0.19100205,0.38030446,0.34413913
0.19071669,0.42741667,0.29838995,0.24767918,0.4189595,0.27381823,0.21966871,0.30917612
0.1025,0.1354579,0.2765202,0.36333795,0.33284686,0.26289507,0.20569892,0.36176918
0.12295295,0.11542397,0.15114823,0.44665123,0.16319874,0.24920829,0.19916858,0.28267525
0.13147827,0.12511756,0.33615669,0.40775264,0.52244222,0.33026672,0.48570523,0.46003035
0.12137444,0.20724082,0.45557409,0.37975174,0.49949079,0.47875555,1.4296436,0.87655802
0.2050317,0.27999168,0.52828231,0.61894467,1.27627458,0.71351479,1.11174393,0.76135713
0.31627907,0.39185704,0.48244416,0.8646112,0.63724922,0.78103035,0.68058208,0.64664452
0.50522368,0.40746536,0.83915938,0.71476229,0.7960379,1.2551771,0.62805625,0.81284787
0.46500194,0.57754841,0.83453981,0.97497749,1.19296946,0.81384668,0.69848952,1.64550821
0.37571617,0.93232087,1.11013289,1.13055197,0.8491717,0.85583569,0.61459789,1.20985268
0.43875773,0.53438037,0.6552759,0.95120994,0.80895589,0.7679122,0.74672575,0.73265928
0.29981798,0.44483651,0.45154692,0.61414997,0.61645107,0.66322267,0.66462199,0.5831908
0.30020236,0.47246395,0.3715038,0.66274496,0.49239962,1.048941,0.62814033,0.47327546
0.43885087,0.43577485,0.44918353,0.80373538,0.53179452,0.45801684,0.5533836,0.51308416
0.39280131,0.39120487,0.40057938,0.78610765,0.67584728,0.46654854,0.48922862,0.47068369
0.38407652,0.28902415,0.46640021,0.65349844,0.66420297,0.41133947,0.57587823,0.51863015
0.36426035,0.2469069,0.45394991,0.57606145,0.56819628,0.38243197,0.5064856,0.394489
0.36550205,0.23621978,0.34927284,0.46848555,0.3365677,0.39074866,0.35265633,0.33291717
0.322639,0.27836669,0.26669532,0.35116682,0.29192155,0.31522558,0.29758752,0.33526119
0.19635182,0.22821816,0.13323098,0.2539123,0.22657669,0.25946807,0.23825747,0.23815137
0.10568284,0.0642303,0.03489189,0.08672866,0.17197457,0.13629955,0.15714751,0.14675678
0.13895808,0.08491508,0.03529568,0.12949469,0.25511177,0.1347469,0.33184918,0.13252799
0.1142366,0.075,0.02882859,0.07698911,0.23582906,0.10708491,0.34202066,0.18254885
0.1122096,0.02775,0.06579972,0.12536006,0.2418204,0.11350241,0.25937972,0.19376841
